Friday_of_Week,NFCI
2/28/92,-0.659139923
3/6/92,-0.662070463
3/13/92,-0.666673148
3/20/92,-0.674793252
3/27/92,-0.686669657
4/3/92,-0.701960295
4/10/92,-0.720838857
4/17/92,-0.741653149
4/24/92,-0.763962475
5/1/92,-0.786741381
5/8/92,-0.80826391
5/15/92,-0.828300691
5/22/92,-0.846708027
5/29/92,-0.862733371
6/5/92,-0.877419526
6/12/92,-0.891850334
6/19/92,-0.905558583
6/26/92,-0.918155296
7/3/92,-0.928874455
7/10/92,-0.936512888
7/17/92,-0.941515971
7/24/92,-0.943065166
7/31/92,-0.941413655
